등록번호,등록일자,업종,상호,우편번호,소재지(지번),소재지(도로명)
26213-2015-000001,2015-04-27,일반야영장업,만석꾼캠핑장,,"부산광역시 기장군 장안읍 월내리 368-1,368-2 ",
26213-2016-000002,2016-06-17,일반야영장업,부산카라반파크,46039,부산광역시 기장군 일광읍 문동리 72 ,부산광역시 기장군 일광면 일광로 763
26213-2016-000005,2016-07-08,일반야영장업,제이스글램핑,46041,부산광역시 기장군 일광읍 화전리 135 ,부산광역시 기장군 일광면 이천8길 132-20
26213-2016-000006,2016-08-24,일반야영장업,더무빙카라반캠핑,46033,부산광역시 기장군 장안읍 월내리 552-15 ,부산광역시 기장군 장안읍 해맞이로 290
26213-2017-000001,2017-09-04,일반야영장업,초원 숲속 야영장,46003,부산광역시 기장군 정관읍 병산리 566 ,부산광역시 기장군 정관읍 병산1길 18 (병산골정원)
26213-2018-000001,2018-11-09,일반야영장업,장안캠프,46032,부산광역시 기장군 장안읍 기룡리 448 ,부산광역시 기장군 장안읍 장안로 18
